Competition_Name,Gender,Country,Season_End_Year,Wk,Day,Date,Time,Home_xG,Away_xG,Attendance,Venue,Referee,Notes,MatchURL,Home_Away,Team,Home_Away_Goals,Goals
Liga MX,M,MEX,2025,4,Sun,2024-07-21,18:00,2,0.7,NA,Estadio Olímpico de Universitario,Vicente Arce,NA,https://fbref.com/en/matches/4d45b1fe/Pumas-UNAM-Pachuca-July-21-2024-Liga-MX,Home,UNAM,HomeGoals,2
Liga MX,M,MEX,2025,4,Sun,2024-07-21,18:00,2,0.7,NA,Estadio Olímpico de Universitario,Vicente Arce,NA,https://fbref.com/en/matches/4d45b1fe/Pumas-UNAM-Pachuca-July-21-2024-Liga-MX,Away,Pachuca,AwayGoals,0
Liga MX,M,MEX,2025,4,Sun,2024-07-21,20:05,1.8,0.2,NA,Estadio León,Luis García,NA,https://fbref.com/en/matches/1255106c/Leon-Necaxa-July-21-2024-Liga-MX,Home,León,HomeGoals,1
Liga MX,M,MEX,2025,4,Sun,2024-07-21,20:05,1.8,0.2,NA,Estadio León,Luis García,NA,https://fbref.com/en/matches/1255106c/Leon-Necaxa-July-21-2024-Liga-MX,Away,Necaxa,AwayGoals,1
Major League Soccer,M,USA,2024,1,Wed,2024-02-21,20:00,1.4,0.8,21137,Chase Stadium,Cristian Campo Hernández,NA,https://fbref.com/en/matches/6b8eefb5/Inter-Miami-Real-Salt-Lake-February-21-2024-Major-League-Soccer,Home,Inter Miami,HomeGoals,2
Major League Soccer,M,USA,2024,1,Wed,2024-02-21,20:00,1.4,0.8,21137,Chase Stadium,Cristian Campo Hernández,NA,https://fbref.com/en/matches/6b8eefb5/Inter-Miami-Real-Salt-Lake-February-21-2024-Major-League-Soccer,Away,RSL,AwayGoals,0
Major League Soccer,M,USA,2024,1,Sat,2024-02-24,13:45,1.5,1.8,22214,BMO Stadium,Wesley Costa,NA,https://fbref.com/en/matches/2d02571f/Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,Home,LAFC,HomeGoals,2
Major League Soccer,M,USA,2024,1,Sat,2024-02-24,13:45,1.5,1.8,22214,BMO Stadium,Wesley Costa,NA,https://fbref.com/en/matches/2d02571f/Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,Away,Seattle,AwayGoals,1
Major League Soccer,M,USA,2024,1,Sat,2024-02-24,14:00,1.8,0.5,20406,Lower.com Field,Rafael Bonilla,NA,https://fbref.com/en/matches/50d19f80/Columbus-Crew-Atlanta-United-February-24-2024-Major-League-Soccer,Home,Crew,HomeGoals,1
Major League Soccer,M,USA,2024,1,Sat,2024-02-24,14:00,1.8,0.5,20406,Lower.com Field,Rafael Bonilla,NA,https://fbref.com/en/matches/50d19f80/Columbus-Crew-Atlanta-United-February-24-2024-Major-League-Soccer,Away,Atlanta Utd,AwayGoals,0
Major League Soccer,M,USA,2024,1,Sat,2024-02-24,19:30,0.5,1.2,21411,Providence Park,Aleksandar Zhelyazkov,NA,https://fbref.com/en/matches/24530d12/Portland-Timbers-Colorado-Rapids-February-24-2024-Major-League-Soccer,Home,Portland Timbers,HomeGoals,4
Major League Soccer,M,USA,2024,1,Sat,2024-02-24,19:30,0.5,1.2,21411,Providence Park,Aleksandar Zhelyazkov,NA,https://fbref.com/en/matches/24530d12/Portland-Timbers-Colorado-Rapids-February-24-2024-Major-League-Soccer,Away,Rapids,AwayGoals,1
Major League Soccer,M,USA,2024,1,Sat,2024-02-24,19:30,2.1,1.6,18734,Subaru Park,Muhammad Hassan,NA,https://fbref.com/en/matches/25e841a5/Philadelphia-Union-Chicago-Fire-February-24-2024-Major-League-Soccer,Home,Philadelphia,HomeGoals,2
Major League Soccer,M,USA,2024,1,Sat,2024-02-24,19:30,2.1,1.6,18734,Subaru Park,Muhammad Hassan,NA,https://fbref.com/en/matches/25e841a5/Philadelphia-Union-Chicago-Fire-February-24-2024-Major-League-Soccer,Away,Fire,AwayGoals,2
Major League Soccer,M,USA,2024,1,Sat,2024-02-24,19:30,4.5,0.8,19215,Audi Field,Andrew Musashe,NA,https://fbref.com/en/matches/4a63fe1b/DC-United-New-England-Revolution-February-24-2024-Major-League-Soccer,Home,D.C. United,HomeGoals,3
Major League Soccer,M,USA,2024,1,Sat,2024-02-24,19:30,4.5,0.8,19215,Audi Field,Andrew Musashe,NA,https://fbref.com/en/matches/4a63fe1b/DC-United-New-England-Revolution-February-24-2024-Major-League-Soccer,Away,NE Revolution,AwayGoals,1
Major League Soccer,M,USA,2024,1,Sat,2024-02-24,19:30,0.7,1.7,22423,Citypark,Lorenzo Hernandez,NA,https://fbref.com/en/matches/4ca51dbf/St-Louis-City-Real-Salt-Lake-February-24-2024-Major-League-Soccer,Home,St. Louis,HomeGoals,1
Major League Soccer,M,USA,2024,1,Sat,2024-02-24,19:30,0.7,1.7,22423,Citypark,Lorenzo Hernandez,NA,https://fbref.com/en/matches/4ca51dbf/St-Louis-City-Real-Salt-Lake-February-24-2024-Major-League-Soccer,Away,RSL,AwayGoals,1
Major League Soccer,M,USA,2024,1,Sat,2024-02-24,19:30,1.1,3,20738,Q2 Stadium,Trevor Wiseman,NA,https://fbref.com/en/matches/82e1e5b8/Austin-FC-Minnesota-United-February-24-2024-Major-League-Soccer,Home,Austin,HomeGoals,1
Major League Soccer,M,USA,2024,1,Sat,2024-02-24,19:30,1.1,3,20738,Q2 Stadium,Trevor Wiseman,NA,https://fbref.com/en/matches/82e1e5b8/Austin-FC-Minnesota-United-February-24-2024-Major-League-Soccer,Away,Minnesota Utd,AwayGoals,2
Major League Soccer,M,USA,2024,1,Sat,2024-02-24,19:30,0.9,1,24249,Inter&Co Stadium,Rafael Martinez,NA,https://fbref.com/en/matches/8c354a46/Orlando-City-CF-Montreal-February-24-2024-Major-League-Soccer,Home,Orlando City,HomeGoals,0
Major League Soccer,M,USA,2024,1,Sat,2024-02-24,19:30,0.9,1,24249,Inter&Co Stadium,Rafael Martinez,NA,https://fbref.com/en/matches/8c354a46/Orlando-City-CF-Montreal-February-24-2024-Major-League-Soccer,Away,CF Montréal,AwayGoals,0
Major League Soccer,M,USA,2024,1,Sat,2024-02-24,19:30,1,0.9,19096,Toyota Stadium,DeShun Beard,NA,https://fbref.com/en/matches/b1ee8936/FC-Dallas-San-Jose-Earthquakes-February-24-2024-Major-League-Soccer,Home,FC Dallas,HomeGoals,2
Major League Soccer,M,USA,2024,1,Sat,2024-02-24,19:30,1,0.9,19096,Toyota Stadium,DeShun Beard,NA,https://fbref.com/en/matches/b1ee8936/FC-Dallas-San-Jose-Earthquakes-February-24-2024-Major-League-Soccer,Away,SJ Earthquakes,AwayGoals,1
Major League Soccer,M,USA,2024,1,Sat,2024-02-24,19:30,2,0.5,62291,Bank of America Stadium,Mario Maric,NA,https://fbref.com/en/matches/c83d7bed/Charlotte-FC-New-York-City-FC-February-24-2024-Major-League-Soccer,Home,Charlotte,HomeGoals,1
Major League Soccer,M,USA,2024,1,Sat,2024-02-24,19:30,2,0.5,62291,Bank of America Stadium,Mario Maric,NA,https://fbref.com/en/matches/c83d7bed/Charlotte-FC-New-York-City-FC-February-24-2024-Major-League-Soccer,Away,NYCFC,AwayGoals,0
